Category,Subcategory,Change in company revenue,"Rising operational costs (e.g., materials, rent, logistics)","Rising labor costs (e.g., wages, benefits)",Cost-cutting initiatives to preserve margins,Artificial intelligence reducing workforce number,Budget increases allowing for headcount growth,Expansion into new markets or segments,Launch of new products or services,Delayed or canceled projects impacting workforce needs,"Restructuring, mergers or acquisitions",Shifting business priorities or leadership direction,Difficulty finding qualified candidates,Increased availability of skilled talent,Automation or digital transformation reducing manual roles,Economic uncertainty or market volatility,Changes in government policy or regulation,Industry-specific change in demand,Seasonal or cyclical hiring needs
Industry,Retail,60,0,40,20,20,0,20,0,0,0,20,60,0,0,40,0,40,20
Industry,Technology/Telecommunications/Software,81.81818182,18.18181818,27.27272727,27.27272727,18.18181818,18.18181818,36.36363636,27.27272727,27.27272727,18.18181818,27.27272727,0,0,18.18181818,0,0,0,0
Industry,Transportation,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100
Industry,Wholesale/Distribution,37.5,6.25,0,18.75,6.25,6.25,37.5,31.25,6.25,0,12.5,6.25,0,6.25,6.25,6.25,6.25,12.5
Industry,Other (please specify),75,8.333333333,16.66666667,25,25,16.66666667,58.33333333,25,0,0,8.333333333,8.333333333,8.333333333,16.66666667,8.333333333,16.66666667,0,8.333333333
Employee Headcount,Less than 25,58.33333333,20.83333333,29.16666667,41.66666667,16.66666667,12.5,29.16666667,20.83333333,8.333333333,8.333333333,12.5,16.66666667,0,12.5,20.83333333,20.83333333,12.5,0
Employee Headcount,25 to 49,82.35294118,23.52941176,17.64705882,35.29411765,11.76470588,5.882352941,23.52941176,29.41176471,23.52941176,0,5.882352941,17.64705882,0,0,17.64705882,23.52941176,11.76470588,11.76470588
Employee Headcount,50 to 99,66.66666667,11.11111111,22.22222222,27.77777778,27.77777778,27.77777778,55.55555556,27.77777778,16.66666667,16.66666667,33.33333333,22.22222222,11.11111111,11.11111111,16.66666667,5.555555556,22.22222222,16.66666667
Employee Headcount,100 to 249,67.64705882,11.76470588,14.70588235,14.70588235,5.882352941,17.64705882,29.41176471,20.58823529,8.823529412,8.823529412,11.76470588,29.41176471,2.941176471,8.823529412,14.70588235,14.70588235,11.76470588,5.882352941
Employee Headcount,250 to 499,76.92307692,7.692307692,15.38461538,46.15384615,23.07692308,0,46.15384615,30.76923077,0,15.38461538,7.692307692,7.692307692,0,15.38461538,23.07692308,0,23.07692308,23.07692308
Employee Headcount,500 to 999,100,10,30,30,10,30,50,10,0,20,0,10,0,10,0,10,10,0
Employee Headcount,"1,000 to 2,499",60,0,20,20,20,20,0,20,0,20,0,40,0,20,20,0,40,0
Employee Headcount,"2,500+",50,0,25,0,25,0,0,0,25,25,25,0,0,25,0,0,50,0
Profitability,Unprofitable,100,66.66666667,66.66666667,100,33.33333333,0,0,33.33333333,33.33333333,0,0,0,0,0,33.33333333,0,0,0
Profitability,0 – 4.9%,80,10,10,25,20,20,30,10,20,15,10,20,5,10,25,25,25,5
Profitability,5 – 9.9%,42.10526316,5.263157895,15.78947368,21.05263158,26.31578947,10.52631579,36.84210526,21.05263158,5.263157895,10.52631579,21.05263158,5.263157895,5.263157895,10.52631579,5.263157895,0,26.31578947,10.52631579
Profitability,10 – 14.9%,63.63636364,0,18.18181818,45.45454545,27.27272727,9.090909091,54.54545455,18.18181818,18.18181818,0,9.090909091,9.090909091,0,18.18181818,18.18181818,9.090909091,9.090909091,18.18181818
Profitability,15 – 19.9%,100,28.57142857,42.85714286,14.28571429,28.57142857,14.28571429,57.14285714,57.14285714,14.28571429,28.57142857,28.57142857,28.57142857,0,28.57142857,14.28571429,14.28571429,28.57142857,28.57142857
Profitability,20 – 30%,100,16.66666667,33.33333333,50,0,0,50,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,0,16.66666667,0,16.66666667,0
Profitability,Over 30%,50,16.66666667,16.66666667,33.33333333,33.33333333,16.66666667,16.66666667,66.66666667,0,0,0,50,0,33.33333333,16.66666667,0,16.66666667,0
Domestic Share of Revenues,Less than 50%,62.5,0,25,37.5,0,25,25,12.5,0,37.5,12.5,12.5,0,0,12.5,25,12.5,0
Domestic Share of Revenues,50% to 69.9%,83.33333333,16.66666667,33.33333333,50,16.66666667,0,83.33333333,33.33333333,0,16.66666667,33.33333333,0,0,0,16.66666667,16.66666667,0,0
Domestic Share of Revenues,70% to 89.9%,87.5,0,25,25,37.5,25,62.5,25,25,25,0,12.5,0,25,12.5,12.5,25,0
Domestic Share of Revenues,90% to 99.9%,70,13.33333333,6.666666667,16.66666667,20,13.33333333,36.66666667,30,3.333333333,13.33333333,13.33333333,6.666666667,0,13.33333333,13.33333333,10,16.66666667,16.66666667
Domestic Share of Revenues,100%,61.72839506,14.81481481,22.22222222,29.62962963,11.11111111,14.81481481,23.45679012,17.28395062,12.34567901,6.172839506,12.34567901,25.92592593,3.703703704,8.641975309,14.81481481,11.11111111,16.04938272,6.172839506
Domestic Share of Costs,Less than 50%,81.81818182,27.27272727,36.36363636,45.45454545,0,45.45454545,36.36363636,18.18181818,0,27.27272727,18.18181818,27.27272727,0,9.090909091,9.090909091,18.18181818,0,0
Domestic Share of Costs,50% to 69.9%,100,12.5,37.5,37.5,25,25,75,50,0,12.5,37.5,25,12.5,12.5,12.5,0,25,25
Domestic Share of Costs,70% to 79.9%,71.42857143,0,14.28571429,28.57142857,0,0,42.85714286,28.57142857,0,28.57142857,0,0,0,0,0,14.28571429,14.28571429,0
Domestic Share of Costs,80% to 89.9%,66.66666667,6.666666667,0,6.666666667,13.33333333,6.666666667,26.66666667,20,6.666666667,13.33333333,0,0,0,13.33333333,0,0,13.33333333,6.666666667
Domestic Share of Costs,90% to 99.9%,72,16,12,20,28,8,44,20,12,8,16,4,0,12,16,12,12,8
Domestic Share of Costs,100%,84.44444444,17.77777778,33.33333333,46.66666667,17.77777778,22.22222222,31.11111111,26.66666667,20,11.11111111,17.77777778,42.22222222,4.444444444,13.33333333,28.88888889,22.22222222,28.88888889,11.11111111
Overall,Overall,83,93.61702128,18.08510638,27.65957447,39.36170213,20.21276596,21.27659574,44.68085106,29.78723404,13.82978723,15.95744681,18.08510638,26.59574468,3.191489362,13.82978723,21.27659574,17.0212766,22.34042553
